"time" "name" "value" "sigma" "condition" "experiment" "epo_level" "ActD" "CISoe" "SOCS3oe" "SHP1oe"
0 "CIS_au" 0.0170074838287883 NA "long" "long" 1.25e-07 0 0 0 0
5 "CIS_au" 0.0388193281889231 NA "long" "long" 1.25e-07 0 0 0 0
10 "CIS_au" 0.0213437955047499 NA "long" "long" 1.25e-07 0 0 0 0
20 "CIS_au" 0.0370858139097189 NA "long" "long" 1.25e-07 0 0 0 0
40 "CIS_au" 0.128730275083952 NA "long" "long" 1.25e-07 0 0 0 0
60 "CIS_au" 0.282493486939208 NA "long" "long" 1.25e-07 0 0 0 0
80 "CIS_au" 0.820831393448306 NA "long" "long" 1.25e-07 0 0 0 0
100 "CIS_au" 0.922259313924577 NA "long" "long" 1.25e-07 0 0 0 0
140 "CIS_au" 0.773095363096948 NA "long" "long" 1.25e-07 0 0 0 0
160 "CIS_au" 0.751557686402313 NA "long" "long" 1.25e-07 0 0 0 0
180 "CIS_au" 0.951127279571276 NA "long" "long" 1.25e-07 0 0 0 0
220 "CIS_au" 0.911414943883666 NA "long" "long" 1.25e-07 0 0 0 0
240 "CIS_au" 1 NA "long" "long" 1.25e-07 0 0 0 0
0 "pEpoR_au" 0.00441239892183293 NA "long" "long" 1.25e-07 0 0 0 0
5 "pEpoR_au" 0.700808625336927 NA "long" "long" 1.25e-07 0 0 0 0
10 "pEpoR_au" 1 NA "long" "long" 1.25e-07 0 0 0 0
20 "pEpoR_au" 0.606469002695418 NA "long" "long" 1.25e-07 0 0 0 0
40 "pEpoR_au" 0.190846361185984 NA "long" "long" 1.25e-07 0 0 0 0
60 "pEpoR_au" 0.100787061994609 NA "long" "long" 1.25e-07 0 0 0 0
80 "pEpoR_au" 0.110948787061995 NA "long" "long" 1.25e-07 0 0 0 0
100 "pEpoR_au" 0.0698463611859839 NA "long" "long" 1.25e-07 0 0 0 0
120 "pEpoR_au" 0.283018867924528 NA "long" "long" 1.25e-07 0 0 0 0
140 "pEpoR_au" 0.134037735849057 NA "long" "long" 1.25e-07 0 0 0 0
160 "pEpoR_au" 0.23955525606469 NA "long" "long" 1.25e-07 0 0 0 0
180 "pEpoR_au" 0.0506819407008081 NA "long" "long" 1.25e-07 0 0 0 0
220 "pEpoR_au" 0.0400188679245281 NA "long" "long" 1.25e-07 0 0 0 0
240 "pEpoR_au" 0.085331536388141 NA "long" "long" 1.25e-07 0 0 0 0
0 "pJAK2_au" 0.0110662983425414 NA "long" "long" 1.25e-07 0 0 0 0
5 "pJAK2_au" 1 NA "long" "long" 1.25e-07 0 0 0 0
10 "pJAK2_au" 0.745856353591161 NA "long" "long" 1.25e-07 0 0 0 0
20 "pJAK2_au" 0.745856353591161 NA "long" "long" 1.25e-07 0 0 0 0
40 "pJAK2_au" 0.262055248618785 NA "long" "long" 1.25e-07 0 0 0 0
60 "pJAK2_au" 0.0431049723756908 NA "long" "long" 1.25e-07 0 0 0 0
80 "pJAK2_au" 0.163198895027624 NA "long" "long" 1.25e-07 0 0 0 0
100 "pJAK2_au" 0.0926077348066297 NA "long" "long" 1.25e-07 0 0 0 0
120 "pJAK2_au" 0.0252762430939225 NA "long" "long" 1.25e-07 0 0 0 0
140 "pJAK2_au" 0.134138121546961 NA "long" "long" 1.25e-07 0 0 0 0
160 "pJAK2_au" 0.13585635359116 NA "long" "long" 1.25e-07 0 0 0 0
180 "pJAK2_au" 0.0562320441988948 NA "long" "long" 1.25e-07 0 0 0 0
220 "pJAK2_au" 0.0592430939226518 NA "long" "long" 1.25e-07 0 0 0 0
240 "pJAK2_au" 0.102116022099448 NA "long" "long" 1.25e-07 0 0 0 0
0 "pSTAT5_au" 0.00108961902029359 NA "long" "long" 1.25e-07 0 0 0 0
5 "pSTAT5_au" 1 NA "long" "long" 1.25e-07 0 0 0 0
10 "pSTAT5_au" 0.907589351489257 NA "long" "long" 1.25e-07 0 0 0 0
20 "pSTAT5_au" 0.560146405390945 NA "long" "long" 1.25e-07 0 0 0 0
60 "pSTAT5_au" 0.390882232061851 NA "long" "long" 1.25e-07 0 0 0 0
80 "pSTAT5_au" 0.168971827818575 NA "long" "long" 1.25e-07 0 0 0 0
100 "pSTAT5_au" 0.163321882487961 NA "long" "long" 1.25e-07 0 0 0 0
120 "pSTAT5_au" 0.193885558752142 NA "long" "long" 1.25e-07 0 0 0 0
140 "pSTAT5_au" 0.121702583031553 NA "long" "long" 1.25e-07 0 0 0 0
160 "pSTAT5_au" 0.126579402436471 NA "long" "long" 1.25e-07 0 0 0 0
180 "pSTAT5_au" 0.291616585373419 NA "long" "long" 1.25e-07 0 0 0 0
220 "pSTAT5_au" 0.0857246989306511 NA "long" "long" 1.25e-07 0 0 0 0
240 "pSTAT5_au" 0.275912901199625 NA "long" "long" 1.25e-07 0 0 0 0
10 "SOCS3_au" 0.109720677996869 NA "long" "long" 1.25e-07 0 0 0 0
20 "SOCS3_au" 0.281462488560127 NA "long" "long" 1.25e-07 0 0 0 0
60 "SOCS3_au" 0.568877493136076 NA "long" "long" 1.25e-07 0 0 0 0
120 "SOCS3_au" 1 NA "long" "long" 1.25e-07 0 0 0 0
180 "SOCS3_au" 1 NA "long" "long" 1.25e-07 0 0 0 0
240 "SOCS3_au" 0.969745788992004 NA "long" "long" 1.25e-07 0 0 0 0
0 "tSTAT5_au" 0.580253494950202 NA "long" "long" 1.25e-07 0 0 0 0
5 "tSTAT5_au" 1 NA "long" "long" 1.25e-07 0 0 0 0
10 "tSTAT5_au" 0.685016065555623 NA "long" "long" 1.25e-07 0 0 0 0
20 "tSTAT5_au" 0.564744334816084 NA "long" "long" 1.25e-07 0 0 0 0
60 "tSTAT5_au" 0.859840771845806 NA "long" "long" 1.25e-07 0 0 0 0
80 "tSTAT5_au" 0.680305638820674 NA "long" "long" 1.25e-07 0 0 0 0
100 "tSTAT5_au" 0.747585797058387 NA "long" "long" 1.25e-07 0 0 0 0
120 "tSTAT5_au" 0.874021574162275 NA "long" "long" 1.25e-07 0 0 0 0
140 "tSTAT5_au" 0.640664644999287 NA "long" "long" 1.25e-07 0 0 0 0
160 "tSTAT5_au" 0.702241021204203 NA "long" "long" 1.25e-07 0 0 0 0
180 "tSTAT5_au" 0.841179674960164 NA "long" "long" 1.25e-07 0 0 0 0
220 "tSTAT5_au" 0.574873063175649 NA "long" "long" 1.25e-07 0 0 0 0
240 "tSTAT5_au" 0.722746088481448 NA "long" "long" 1.25e-07 0 0 0 0
120 "CIS_abs" 29.0617949731136 NA "conc" "conc" 1.25e-07 0 0 0 0
120 "CIS_abs" 26.09756719129 NA "conc" "conc" 1.25e-07 0 0 0 0
120 "CIS_abs" 19.6523934717918 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "pSTAT5B_rel" 0.508 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "pSTAT5B_rel" 0.68458816509399 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "pSTAT5B_rel" 1.1471363132332 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "pSTAT5B_rel" 1.16093161443051 NA "conc" "conc" 1.25e-07 0 0 0 0
10 "pSTAT5B_rel" 78.02 NA "conc" "conc" 1.25e-07 0 0 0 0
10 "pSTAT5B_rel" 68.4474330326524 NA "conc" "conc" 1.25e-07 0 0 0 0
10 "pSTAT5B_rel" 74.0541912811413 NA "conc" "conc" 1.25e-07 0 0 0 0
10 "pSTAT5B_rel" 71.5513947378025 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "SHP1_abs" 28.4347755285916 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "SHP1_abs" 30.8637286336626 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "SHP1_abs" 21.7500690896219 NA "conc" "conc" 1.25e-07 0 0 0 0
120 "SOCS3_abs" 12.3548236814265 NA "conc" "conc" 1.25e-07 0 0 0 0
120 "SOCS3_abs" 7.25564118609038 NA "conc" "conc" 1.25e-07 0 0 0 0
120 "SOCS3_abs" 11.5422390278858 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "STAT5_abs" 62.683304904383 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "STAT5_abs" 117.228682853712 NA "conc" "conc" 1.25e-07 0 0 0 0
0 "STAT5_abs" 69.0340769940587 NA "conc" "conc" 1.25e-07 0 0 0 0
15 "CISRNA_foldA" 1.04776560584803 NA "rna" "rna" 1.25e-07 0 0 0 0
30 "CISRNA_foldA" 1.42892812866356 NA "rna" "rna" 1.25e-07 0 0 0 0
60 "CISRNA_foldA" 7.07694650170884 NA "rna" "rna" 1.25e-07 0 0 0 0
120 "CISRNA_foldA" 3.11186969159635 NA "rna" "rna" 1.25e-07 0 0 0 0
240 "CISRNA_foldA" 2.58590180586209 NA "rna" "rna" 1.25e-07 0 0 0 0
360 "CISRNA_foldA" 1.89006623324901 NA "rna" "rna" 1.25e-07 0 0 0 0
15 "CISRNA_foldB" 1.05660493383199 NA "rna" "rna" 1.25e-07 0 0 0 0
30 "CISRNA_foldB" 1.45454365079365 NA "rna" "rna" 1.25e-07 0 0 0 0
60 "CISRNA_foldB" 5.46827429221796 NA "rna" "rna" 1.25e-07 0 0 0 0
120 "CISRNA_foldB" 3.61650256271918 NA "rna" "rna" 1.25e-07 0 0 0 0
360 "CISRNA_foldB" 2.17609961555857 NA "rna" "rna" 1.25e-07 0 0 0 0
15 "CISRNA_foldC" 1.03155555555556 NA "rna" "rna" 1.25e-07 0 0 0 0
30 "CISRNA_foldC" 1.40697819314642 NA "rna" "rna" 1.25e-07 0 0 0 0
60 "CISRNA_foldC" 3.64502732240437 NA "rna" "rna" 1.25e-07 0 0 0 0
120 "CISRNA_foldC" 2.38697674418604 NA "rna" "rna" 1.25e-07 0 0 0 0
240 "CISRNA_foldC" 2.21039501039501 NA "rna" "rna" 1.25e-07 0 0 0 0
360 "CISRNA_foldC" 1.47333333333333 NA "rna" "rna" 1.25e-07 0 0 0 0
15 "SOCS3RNA_foldA" 1.33779992518236 NA "rna" "rna" 1.25e-07 0 0 0 0
30 "SOCS3RNA_foldA" 1.25117185497409 NA "rna" "rna" 1.25e-07 0 0 0 0
60 "SOCS3RNA_foldA" 5.27238420571201 NA "rna" "rna" 1.25e-07 0 0 0 0
120 "SOCS3RNA_foldA" 3.62119198698641 NA "rna" "rna" 1.25e-07 0 0 0 0
240 "SOCS3RNA_foldA" 3.95282078408235 NA "rna" "rna" 1.25e-07 0 0 0 0
360 "SOCS3RNA_foldA" 3.35614321113915 NA "rna" "rna" 1.25e-07 0 0 0 0
15 "SOCS3RNA_foldB" 1.44456951895172 NA "rna" "rna" 1.25e-07 0 0 0 0
30 "SOCS3RNA_foldB" 1.55142574527594 NA "rna" "rna" 1.25e-07 0 0 0 0
60 "SOCS3RNA_foldB" 4.60904630848391 NA "rna" "rna" 1.25e-07 0 0 0 0
120 "SOCS3RNA_foldB" 3.92147343405194 NA "rna" "rna" 1.25e-07 0 0 0 0
360 "SOCS3RNA_foldB" 2.24379562043796 NA "rna" "rna" 1.25e-07 0 0 0 0
15 "SOCS3RNA_foldC" 1.16410153477803 NA "rna" "rna" 1.25e-07 0 0 0 0
30 "SOCS3RNA_foldC" 1.66306571617779 NA "rna" "rna" 1.25e-07 0 0 0 0
60 "SOCS3RNA_foldC" 9.50564296894306 NA "rna" "rna" 1.25e-07 0 0 0 0
120 "SOCS3RNA_foldC" 4.31036477350783 NA "rna" "rna" 1.25e-07 0 0 0 0
240 "SOCS3RNA_foldC" 3.95282078408235 NA "rna" "rna" 1.25e-07 0 0 0 0
360 "SOCS3RNA_foldC" 4.48496870316495 NA "rna" "rna" 1.25e-07 0 0 0 0
0 "CIS_au" 0.0132277039848197 NA "actd_0" "actd" 1.25e-07 0 0 0 0
5 "CIS_au" 0.00936053130929781 NA "actd_0" "actd" 1.25e-07 0 0 0 0
10 "CIS_au" 0.00891650853889953 NA "actd_0" "actd" 1.25e-07 0 0 0 0
30 "CIS_au" 0.027977229601518 NA "actd_0" "actd" 1.25e-07 0 0 0 0
60 "CIS_au" 0.307400379506641 NA "actd_0" "actd" 1.25e-07 0 0 0 0
90 "CIS_au" 0.55787476280835 NA "actd_0" "actd" 1.25e-07 0 0 0 0
120 "CIS_au" 0.836812144212524 NA "actd_0" "actd" 1.25e-07 0 0 0 0
150 "CIS_au" 0.859582542694497 NA "actd_0" "actd" 1.25e-07 0 0 0 0
180 "CIS_au" 1 NA "actd_0" "actd" 1.25e-07 0 0 0 0
0 "pEpoR_au" 0.0330867924528305 NA "actd_0" "actd" 1.25e-07 0 0 0 0
