"name" "time" "value" "sigma" "lloq" "condition"
"2" "buffer" 0.1 6.61041910163385 3.16996047008476 -Inf "closed"
"3" "buffer" 1 72.1969838558969 8.78230041747275 -Inf "closed"
"4" "buffer" 3 144.173036478365 12.7713657142879 -Inf "closed"
"5" "buffer" 7 227.347000710186 14.9164019081033 -Inf "closed"
"6" "buffer" 11 248.460709691662 15.4265471846417 -Inf "closed"
"7" "buffer" 15 219.653738204106 15.6028791865085 -Inf "closed"
"8" "buffer" 20 244.701374117114 15.6987325690745 -Inf "closed"
"9" "buffer" 41 234.957595294258 15.7893670876674 -Inf "closed"
"11" "cellular" 0.1 521.534681629338 23.0306958344315 -Inf "closed"
"12" "cellular" 1 455.216179909095 21.525166651556 -Inf "closed"
"13" "cellular" 3 393.167656654722 19.4255969738876 -Inf "closed"
"14" "cellular" 7 328.764124506077 17.8315045387632 -Inf "closed"
"15" "cellular" 11 299.71839273685 17.3920453644769 -Inf "closed"
"16" "cellular" 15 305.964391904078 17.2340291601012 -Inf "closed"
"17" "cellular" 20 301.246277240388 17.1467605023421 -Inf "closed"
"18" "cellular" 41 293.203142040741 17.0633375097279 -Inf "closed"
"21" "buffer" 0.1 169.388587590893 12.6838965716301 -Inf "open"
"31" "buffer" 1 190.238697070475 14.3052448762233 -Inf "open"
"41" "buffer" 3 266.97130314064 16.0420023661335 -Inf "open"
"51" "buffer" 7 320.970422658614 16.9786459228433 -Inf "open"
"61" "buffer" 11 268.312794152748 17.1346244847077 -Inf "open"
"71" "buffer" 15 309.352750147545 17.1613158231002 -Inf "open"
"81" "buffer" 20 300.00727081597 17.1662433253406 -Inf "open"
"91" "buffer" 41 294.946526365554 17.166857162053 -Inf "open"
"111" "cellular" 0.1 358.201669520446 19.4828223766524 -Inf "open"
"121" "cellular" 1 314.914260989619 18.3254350297963 -Inf "open"
"131" "cellular" 3 267.731693982556 16.8260441008862 -Inf "open"
"141" "cellular" 7 254.187237752924 15.880402470552 -Inf "open"
"151" "cellular" 11 233.528123254519 15.7119777166356 -Inf "open"
"161" "cellular" 15 267.408252429695 15.6828198746211 -Inf "open"
"171" "cellular" 20 244.209346897978 15.6774261310714 -Inf "open"
"181" "cellular" 41 268.870922702551 15.6767539745213 -Inf "open"
