"time" "name" "value" "sigma" "condition"
0 "pSTAT5A_rel" 7.901072999 NA "Boehm2014"
2.5 "pSTAT5A_rel" 66.36349397 NA "Boehm2014"
5 "pSTAT5A_rel" 81.17132392 NA "Boehm2014"
10 "pSTAT5A_rel" 94.73030806 NA "Boehm2014"
15 "pSTAT5A_rel" 95.11648305 NA "Boehm2014"
20 "pSTAT5A_rel" 91.44171655 NA "Boehm2014"
30 "pSTAT5A_rel" 91.25709923 NA "Boehm2014"
40 "pSTAT5A_rel" 93.67229784 NA "Boehm2014"
50 "pSTAT5A_rel" 88.75423282 NA "Boehm2014"
60 "pSTAT5A_rel" 85.26970322 NA "Boehm2014"
80 "pSTAT5A_rel" 81.13239534 NA "Boehm2014"
100 "pSTAT5A_rel" 76.13592848 NA "Boehm2014"
120 "pSTAT5A_rel" 65.24805913 NA "Boehm2014"
160 "pSTAT5A_rel" 42.59965871 NA "Boehm2014"
200 "pSTAT5A_rel" 25.15779754 NA "Boehm2014"
240 "pSTAT5A_rel" 15.4301824 NA "Boehm2014"
0 "pSTAT5B_rel" 4.596533343 NA "Boehm2014"
2.5 "pSTAT5B_rel" 29.63454599 NA "Boehm2014"
5 "pSTAT5B_rel" 46.04380647 NA "Boehm2014"
10 "pSTAT5B_rel" 81.97473362 NA "Boehm2014"
15 "pSTAT5B_rel" 80.5716093 NA "Boehm2014"
20 "pSTAT5B_rel" 79.03571964 NA "Boehm2014"
30 "pSTAT5B_rel" 75.67238037 NA "Boehm2014"
40 "pSTAT5B_rel" 71.62471986 NA "Boehm2014"
50 "pSTAT5B_rel" 69.06286328 NA "Boehm2014"
60 "pSTAT5B_rel" 67.14738432 NA "Boehm2014"
80 "pSTAT5B_rel" 60.89947629 NA "Boehm2014"
100 "pSTAT5B_rel" 54.80925777 NA "Boehm2014"
120 "pSTAT5B_rel" 43.98128998 NA "Boehm2014"
160 "pSTAT5B_rel" 29.77145816 NA "Boehm2014"
200 "pSTAT5B_rel" 20.08901656 NA "Boehm2014"
240 "pSTAT5B_rel" 10.96184517 NA "Boehm2014"
0 "rSTAT5A_rel" 14.72316822 NA "Boehm2014"
2.5 "rSTAT5A_rel" 33.76234229 NA "Boehm2014"
5 "rSTAT5A_rel" 36.79985129 NA "Boehm2014"
10 "rSTAT5A_rel" 49.71760229 NA "Boehm2014"
15 "rSTAT5A_rel" 46.9281201 NA "Boehm2014"
20 "rSTAT5A_rel" 47.83657456 NA "Boehm2014"
30 "rSTAT5A_rel" 46.92872725 NA "Boehm2014"
40 "rSTAT5A_rel" 40.59775294 NA "Boehm2014"
50 "rSTAT5A_rel" 43.78366389 NA "Boehm2014"
60 "rSTAT5A_rel" 44.45738765 NA "Boehm2014"
80 "rSTAT5A_rel" 41.32715926 NA "Boehm2014"
100 "rSTAT5A_rel" 41.06273321 NA "Boehm2014"
120 "rSTAT5A_rel" 39.23583003 NA "Boehm2014"
160 "rSTAT5A_rel" 36.61946054 NA "Boehm2014"
200 "rSTAT5A_rel" 34.8937144 NA "Boehm2014"
240 "rSTAT5A_rel" 32.21107716 NA "Boehm2014"
